,patient,dimension,spacing,maximum,minimum,std,x,y,z,x_sp,y_sp,z_sp
0,1,"(216, 256, 10)","(1.5625, 1.5625, 10.0)",658.0,0.0,88.6452,216,256,10,1.5625,1.5625,10.0
1,2,"(216, 256, 10)","(1.5625, 1.5625, 10.0)",984.0,0.0,87.525246,216,256,10,1.5625,1.5625,10.0
2,3,"(232, 256, 10)","(1.3671875, 1.3671875, 10.0)",557.0,0.0,86.03814,232,256,10,1.3671875,1.3671875,10.0
3,4,"(232, 256, 10)","(1.3671875, 1.3671875, 10.0)",555.0,0.0,84.9511,232,256,10,1.3671875,1.3671875,10.0
4,5,"(256, 256, 10)","(1.5625, 1.5625, 10.0)",713.0,0.0,79.27537,256,256,10,1.5625,1.5625,10.0
5,6,"(256, 256, 10)","(1.5625, 1.5625, 10.0)",711.0,0.0,78.87949,256,256,10,1.5625,1.5625,10.0
6,7,"(232, 256, 10)","(1.3671875, 1.3671875, 10.0)",1912.0,0.0,236.056,232,256,10,1.3671875,1.3671875,10.0
7,8,"(232, 256, 10)","(1.3671875, 1.3671875, 10.0)",2477.0,0.0,238.28499,232,256,10,1.3671875,1.3671875,10.0
8,9,"(256, 216, 10)","(1.40625, 1.40625, 10.0)",787.0,0.0,74.99774,256,216,10,1.40625,1.40625,10.0
9,10,"(256, 216, 10)","(1.40625, 1.40625, 10.0)",738.0,0.0,71.981155,256,216,10,1.40625,1.40625,10.0
10,11,"(232, 256, 11)","(1.7578125, 1.7578125, 10.0)",2238.0,0.0,195.18733,232,256,11,1.7578125,1.7578125,10.0
11,12,"(232, 256, 11)","(1.7578125, 1.7578125, 10.0)",2682.0,0.0,194.84467,232,256,11,1.7578125,1.7578125,10.0
12,13,"(222, 224, 10)","(1.875, 1.875, 10.0)",1397.0,0.0,94.10145,222,224,10,1.875,1.875,10.0
13,14,"(222, 224, 10)","(1.875, 1.875, 10.0)",1415.0,0.0,94.10688,222,224,10,1.875,1.875,10.0
14,15,"(200, 256, 10)","(1.5625, 1.5625, 10.0)",2362.0,0.0,231.70657,200,256,10,1.5625,1.5625,10.0
15,16,"(200, 256, 10)","(1.5625, 1.5625, 10.0)",2368.0,0.0,231.4176,200,256,10,1.5625,1.5625,10.0
16,17,"(208, 256, 10)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,3.0,53.40034,208,256,10,1.3671900033950806,1.3671900033950806,10.0
17,18,"(208, 256, 10)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,3.0,52.699104,208,256,10,1.3671900033950806,1.3671900033950806,10.0
18,19,"(208, 256, 10)","(1.5625, 1.5625, 10.0)",255.0,7.0,53.397568,208,256,10,1.5625,1.5625,10.0
19,20,"(208, 256, 10)","(1.5625, 1.5625, 10.0)",255.0,7.0,53.132652,208,256,10,1.5625,1.5625,10.0
20,21,"(216, 256, 9)","(1.4843800067901611, 1.4843800067901611, 10.0)",255.0,12.0,37.448883,216,256,9,1.4843800067901611,1.4843800067901611,10.0
21,22,"(216, 256, 9)","(1.4843800067901611, 1.4843800067901611, 10.0)",255.0,13.0,37.424248,216,256,9,1.4843800067901611,1.4843800067901611,10.0
22,23,"(184, 256, 10)","(1.5625, 1.5625, 10.0)",255.0,7.0,41.19477,184,256,10,1.5625,1.5625,10.0
23,24,"(184, 256, 10)","(1.5625, 1.5625, 10.0)",255.0,8.0,40.790592,184,256,10,1.5625,1.5625,10.0
24,25,"(216, 256, 10)","(1.4453099966049194, 1.4453099966049194, 10.0)",255.0,32.0,29.356422,216,256,10,1.4453099966049194,1.4453099966049194,10.0
25,26,"(216, 256, 10)","(1.4453099966049194, 1.4453099966049194, 10.0)",255.0,32.0,29.164627,216,256,10,1.4453099966049194,1.4453099966049194,10.0
26,27,"(256, 216, 10)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,13.0,36.469376,256,216,10,1.3671900033950806,1.3671900033950806,10.0
27,28,"(256, 216, 10)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,13.0,36.19466,256,216,10,1.3671900033950806,1.3671900033950806,10.0
28,29,"(256, 216, 9)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,6.0,39.195602,256,216,9,1.3671900033950806,1.3671900033950806,10.0
29,30,"(256, 216, 9)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,6.0,38.572548,256,216,9,1.3671900033950806,1.3671900033950806,10.0
30,31,"(192, 256, 10)","(1.4453099966049194, 1.4453099966049194, 10.0)",255.0,17.0,39.667133,192,256,10,1.4453099966049194,1.4453099966049194,10.0
31,32,"(192, 256, 10)","(1.4453099966049194, 1.4453099966049194, 10.0)",255.0,17.0,39.698242,192,256,10,1.4453099966049194,1.4453099966049194,10.0
32,33,"(216, 256, 9)","(1.5625, 1.5625, 10.0)",237.0,25.0,28.782133,216,256,9,1.5625,1.5625,10.0
33,34,"(216, 256, 9)","(1.5625, 1.5625, 10.0)",237.0,26.0,28.74822,216,256,9,1.5625,1.5625,10.0
34,35,"(216, 256, 8)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,21.0,32.036934,216,256,8,1.3671900033950806,1.3671900033950806,10.0
35,36,"(216, 256, 8)","(1.3671900033950806, 1.3671900033950806, 10.0)",255.0,21.0,31.690533,216,256,8,1.3671900033950806,1.3671900033950806,10.0
36,37,"(216, 256, 11)","(1.4453099966049194, 1.4453099966049194, 10.0)",253.0,0.0,38.495197,216,256,11,1.4453099966049194,1.4453099966049194,10.0
37,38,"(216, 256, 11)","(1.4453099966049194, 1.4453099966049194, 10.0)",241.0,0.0,37.69369,216,256,11,1.4453099966049194,1.4453099966049194,10.0
38,39,"(208, 256, 8)","(1.7578099966049194, 1.7578099966049194, 10.0)",255.0,6.0,50.603462,208,256,8,1.7578099966049194,1.7578099966049194,10.0
39,40,"(208, 256, 8)","(1.7578099966049194, 1.7578099966049194, 10.0)",255.0,6.0,50.55981,208,256,8,1.7578099966049194,1.7578099966049194,10.0
40,41,"(240, 256, 10)","(1.6796875, 1.6796875, 10.0)",4025.0,0.0,138.15137,240,256,10,1.6796875,1.6796875,10.0
41,42,"(240, 256, 10)","(1.6796875, 1.6796875, 10.0)",4031.0,0.0,137.34349,240,256,10,1.6796875,1.6796875,10.0
42,43,"(200, 256, 7)","(1.40625, 1.40625, 10.0)",1766.0,0.0,137.44963,200,256,7,1.40625,1.40625,10.0
43,44,"(200, 256, 7)","(1.40625, 1.40625, 10.0)",1834.0,0.0,133.31378,200,256,7,1.40625,1.40625,10.0
44,45,"(216, 256, 9)","(1.4453125, 1.4453125, 10.0)",609.0,0.0,86.86131,216,256,9,1.4453125,1.4453125,10.0
45,46,"(216, 256, 9)","(1.4453125, 1.4453125, 10.0)",841.0,0.0,87.09875,216,256,9,1.4453125,1.4453125,10.0
46,47,"(208, 256, 8)","(1.5625, 1.5625, 10.0)",1284.0,0.0,184.06332,208,256,8,1.5625,1.5625,10.0
47,48,"(208, 256, 8)","(1.5625, 1.5625, 10.0)",1417.0,0.0,181.33531,208,256,8,1.5625,1.5625,10.0
48,49,"(256, 256, 9)","(1.3671875, 1.3671875, 10.0)",445.0,0.0,80.74351,256,256,9,1.3671875,1.3671875,10.0
49,50,"(256, 256, 9)","(1.3671875, 1.3671875, 10.0)",557.0,0.0,79.66329,256,256,9,1.3671875,1.3671875,10.0
50,51,"(216, 256, 10)","(1.3671875, 1.3671875, 10.0)",443.0,0.0,63.90726,216,256,10,1.3671875,1.3671875,10.0
51,52,"(216, 256, 10)","(1.3671875, 1.3671875, 10.0)",550.0,0.0,62.62526,216,256,10,1.3671875,1.3671875,10.0
52,53,"(216, 256, 10)","(1.3671875, 1.3671875, 10.0)",568.0,0.0,78.31045,216,256,10,1.3671875,1.3671875,10.0
53,54,"(216, 256, 10)","(1.3671875, 1.3671875, 10.0)",751.0,0.0,76.985756,216,256,10,1.3671875,1.3671875,10.0
54,55,"(224, 256, 10)","(1.5625, 1.5625, 10.0)",515.0,0.0,49.008408,224,256,10,1.5625,1.5625,10.0
55,56,"(224, 256, 10)","(1.5625, 1.5625, 10.0)",640.0,0.0,48.83192,224,256,10,1.5625,1.5625,10.0
56,57,"(192, 256, 11)","(1.3671875, 1.3671875, 10.0)",651.0,0.0,71.495605,192,256,11,1.3671875,1.3671875,10.0
57,58,"(192, 256, 11)","(1.3671875, 1.3671875, 10.0)",647.0,0.0,71.75123,192,256,11,1.3671875,1.3671875,10.0
58,59,"(216, 256, 10)","(1.4453125, 1.4453125, 10.0)",646.0,0.0,81.77338,216,256,10,1.4453125,1.4453125,10.0
59,60,"(216, 256, 10)","(1.4453125, 1.4453125, 10.0)",538.0,0.0,81.19777,216,256,10,1.4453125,1.4453125,10.0
60,61,"(216, 256, 10)","(1.484375, 1.484375, 10.0)",398.0,0.0,57.362587,216,256,10,1.484375,1.484375,10.0
61,62,"(216, 256, 10)","(1.484375, 1.484375, 10.0)",524.0,0.0,57.78526,216,256,10,1.484375,1.484375,10.0
62,63,"(240, 256, 10)","(1.5625, 1.5625, 10.0)",1288.0,0.0,88.374306,240,256,10,1.5625,1.5625,10.0
63,64,"(240, 256, 10)","(1.5625, 1.5625, 10.0)",1282.0,0.0,88.08561,240,256,10,1.5625,1.5625,10.0
64,65,"(216, 256, 10)","(1.5625, 1.5625, 10.0)",549.0,0.0,99.086494,216,256,10,1.5625,1.5625,10.0
65,66,"(216, 256, 10)","(1.5625, 1.5625, 10.0)",548.0,0.0,98.470764,216,256,10,1.5625,1.5625,10.0
66,67,"(224, 256, 10)","(1.5625, 1.5625, 10.0)",255.0,14.0,36.408096,224,256,10,1.5625,1.5625,10.0
67,68,"(224, 256, 10)","(1.5625, 1.5625, 10.0)",255.0,15.0,36.18252,224,256,10,1.5625,1.5625,10.0
68,69,"(208, 256, 13)","(1.6796900033950806, 1.6796900033950806, 5.0)",255.0,4.0,48.268707,208,256,13,1.6796900033950806,1.6796900033950806,5.0
69,70,"(208, 256, 13)","(1.6796900033950806, 1.6796900033950806, 5.0)",255.0,5.0,48.173912,208,256,13,1.6796900033950806,1.6796900033950806,5.0
70,71,"(216, 256, 8)","(1.4453099966049194, 1.4453099966049194, 10.0)",255.0,8.0,37.353455,216,256,8,1.4453099966049194,1.4453099966049194,10.0
71,72,"(216, 256, 8)","(1.4453099966049194, 1.4453099966049194, 10.0)",255.0,8.0,37.04743,216,256,8,1.4453099966049194,1.4453099966049194,10.0
72,73,"(216, 256, 7)","(1.875, 1.875, 10.0)",255.0,27.0,27.26357,216,256,7,1.875,1.875,10.0
73,74,"(216, 256, 7)","(1.875, 1.875, 10.0)",255.0,28.0,27.274809,216,256,7,1.875,1.875,10.0
74,75,"(276, 384, 8)","(0.8333330154418945, 0.8333330154418945, 10.0)",255.0,11.0,48.026215,276,384,8,0.8333330154418945,0.8333330154418945,10.0
75,76,"(276, 384, 8)","(0.8333330154418945, 0.8333330154418945, 10.0)",255.0,13.0,45.11862,276,384,8,0.8333330154418945,0.8333330154418945,10.0
76,77,"(208, 256, 9)","(1.6406199932098389, 1.6406199932098389, 10.0)",255.0,6.0,45.241123,208,256,9,1.6406199932098389,1.6406199932098389,10.0
77,78,"(208, 256, 9)","(1.6406199932098389, 1.6406199932098389, 10.0)",255.0,6.0,45.215145,208,256,9,1.6406199932098389,1.6406199932098389,10.0
78,79,"(208, 256, 10)","(1.4843800067901611, 1.4843800067901611, 10.0)",255.0,4.0,52.505684,208,256,10,1.4843800067901611,1.4843800067901611,10.0
79,80,"(208, 256, 10)","(1.4843800067901611, 1.4843800067901611, 10.0)",255.0,4.0,52.579704,208,256,10,1.4843800067901611,1.4843800067901611,10.0
80,81,"(154, 224, 6)","(1.7857099771499634, 1.7857099771499634, 10.0)",255.0,3.0,45.968044,154,224,6,1.7857099771499634,1.7857099771499634,10.0
81,82,"(154, 224, 6)","(1.7857099771499634, 1.7857099771499634, 10.0)",255.0,4.0,45.892113,154,224,6,1.7857099771499634,1.7857099771499634,10.0
82,83,"(232, 256, 9)","(1.7578125, 1.7578125, 10.0)",3183.0,0.0,119.697945,232,256,9,1.7578125,1.7578125,10.0
83,84,"(232, 256, 9)","(1.7578125, 1.7578125, 10.0)",3158.0,0.0,117.970276,232,256,9,1.7578125,1.7578125,10.0
84,85,"(174, 224, 12)","(1.9196399450302124, 1.9196399450302124, 6.5)",255.0,5.0,50.399544,174,224,12,1.9196399450302124,1.9196399450302124,6.5
85,86,"(174, 224, 12)","(1.9196399450302124, 1.9196399450302124, 6.5)",255.0,5.0,50.39686,174,224,12,1.9196399450302124,1.9196399450302124,6.5
86,87,"(256, 216, 9)","(1.3671875, 1.3671875, 10.0)",1040.0,0.0,76.00965,256,216,9,1.3671875,1.3671875,10.0
87,88,"(256, 216, 9)","(1.3671875, 1.3671875, 10.0)",1384.0,0.0,74.6699,256,216,9,1.3671875,1.3671875,10.0
88,89,"(208, 256, 8)","(1.5625, 1.5625, 10.0)",255.0,11.0,47.801987,208,256,8,1.5625,1.5625,10.0
89,90,"(208, 256, 8)","(1.5625, 1.5625, 10.0)",255.0,11.0,46.385326,208,256,8,1.5625,1.5625,10.0
90,91,"(256, 216, 9)","(1.5625, 1.5625, 10.0)",255.0,24.0,37.313046,256,216,9,1.5625,1.5625,10.0
91,92,"(256, 216, 9)","(1.5625, 1.5625, 10.0)",255.0,18.0,37.156914,256,216,9,1.5625,1.5625,10.0
92,93,"(256, 208, 9)","(1.6796900033950806, 1.6796900033950806, 10.0)",255.0,15.0,41.870308,256,208,9,1.6796900033950806,1.6796900033950806,10.0
93,94,"(256, 208, 9)","(1.6796900033950806, 1.6796900033950806, 10.0)",255.0,15.0,41.88172,256,208,9,1.6796900033950806,1.6796900033950806,10.0
94,95,"(208, 256, 8)","(1.5625, 1.5625, 10.0)",255.0,3.0,49.798985,208,256,8,1.5625,1.5625,10.0
95,96,"(208, 256, 8)","(1.5625, 1.5625, 10.0)",255.0,3.0,49.326122,208,256,8,1.5625,1.5625,10.0
96,97,"(256, 216, 7)","(1.3671875, 1.3671875, 10.0)",1502.0,0.0,87.91929,256,216,7,1.3671875,1.3671875,10.0
97,98,"(256, 216, 7)","(1.3671875, 1.3671875, 10.0)",1505.0,0.0,88.7304,256,216,7,1.3671875,1.3671875,10.0
98,99,"(248, 256, 10)","(1.3671875, 1.3671875, 10.0)",522.0,0.0,68.347,248,256,10,1.3671875,1.3671875,10.0
99,100,"(248, 256, 10)","(1.3671875, 1.3671875, 10.0)",545.0,0.0,67.090675,248,256,10,1.3671875,1.3671875,10.0
100,101,"(224, 256, 10)","(1.6406199932098389, 1.6406199932098389, 10.0)",255.0,0.0,40.45941,224,256,10,1.6406199932098389,1.6406199932098389,10.0
101,102,"(224, 256, 10)","(1.6406199932098389, 1.6406199932098389, 10.0)",255.0,0.0,40.290703,224,256,10,1.6406199932098389,1.6406199932098389,10.0
